"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2013,"MK","RAT","T","TOTAL","Total","Total","Ratio",8.37,
2014,"MK","RAT","T","TOTAL","Total","Total","Ratio",7.22,
2015,"MK","RAT","T","TOTAL","Total","Total","Ratio",6.62,
2016,"MK","RAT","T","TOTAL","Total","Total","Ratio",6.63,
2017,"MK","RAT","T","TOTAL","Total","Total","Ratio",6.38,
2018,"MK","RAT","T","TOTAL","Total","Total","Ratio",6.16,
2019,"MK","RAT","T","TOTAL","Total","Total","Ratio",5.56,
2020,"MK","RAT","T","TOTAL","Total","Total","Ratio",5.92,
2021,"MK","RAT","T","TOTAL","Total","Total","Ratio",5.62,"b"
2022,"MK","RAT","T","TOTAL","Total","Total","Ratio",5.39,
2023,"MK","RAT","T","TOTAL","Total","Total","Ratio",5.6,
2024,"MK","RAT","T","TOTAL","Total","Total","Ratio",5.18,
2017,"AL","RAT","T","TOTAL","Total","Total","Ratio",7.47,
2018,"AL","RAT","T","TOTAL","Total","Total","Ratio",6.98,
2019,"AL","RAT","T","TOTAL","Total","Total","Ratio",6.38,
2020,"AL","RAT","T","TOTAL","Total","Total","Ratio",5.86,
2021,"AL","RAT","T","TOTAL","Total","Total","Ratio",5.72,
2022,"AL","RAT","T","TOTAL","Total","Total","Ratio",5.12,
2023,"AL","RAT","T","TOTAL","Total","Total","Ratio",4.9,
2013,"RS","RAT","T","TOTAL","Total","Total","Ratio",8.59,
2014,"RS","RAT","T","TOTAL","Total","Total","Ratio",9.41,
2015,"RS","RAT","T","TOTAL","Total","Total","Ratio",10.7,
2016,"RS","RAT","T","TOTAL","Total","Total","Ratio",11.02,
2017,"RS","RAT","T","TOTAL","Total","Total","Ratio",9.38,
2018,"RS","RAT","T","TOTAL","Total","Total","Ratio",8.58,
2019,"RS","RAT","T","TOTAL","Total","Total","Ratio",6.48,
2020,"RS","RAT","T","TOTAL","Total","Total","Ratio",6.29,
2021,"RS","RAT","T","TOTAL","Total","Total","Ratio",6.01,
2022,"RS","RAT","T","TOTAL","Total","Total","Ratio",5.7,
2023,"RS","RAT","T","TOTAL","Total","Total","Ratio",5.55,
2024,"RS","RAT","T","TOTAL","Total","Total","Ratio",5.57,
2025,"RS","RAT","T","TOTAL","Total","Total","Ratio",5.53,
2006,"TR","RAT","T","TOTAL","Total","Total","Ratio",11.29,"b"
2007,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.33,
2008,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.33,
2009,"TR","RAT","T","TOTAL","Total","Total","Ratio",10.35,
2010,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.93,
2011,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.51,
2012,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.33,
2013,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.7,
2014,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.35,
2015,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.62,
2016,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.65,
2017,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.68,
2018,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.66,
2019,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.35,
2020,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.2,
2021,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.64,
2022,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.39,
2023,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.72,
2024,"TR","RAT","T","TOTAL","Total","Total","Ratio",9.06,
2025,"TR","RAT","T","TOTAL","Total","Total","Ratio",8.93,
2018,"XK","RAT","T","TOTAL","Total","Total","Ratio",15.58,
