"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2019,"BE","RAT","T","TOTAL","Total","Total","Ratio",3.6,"b"
2020,"BE","RAT","T","TOTAL","Total","Total","Ratio",3.63,
2021,"BE","RAT","T","TOTAL","Total","Total","Ratio",3.41,
2022,"BE","RAT","T","TOTAL","Total","Total","Ratio",3.53,
2023,"BE","RAT","T","TOTAL","Total","Total","Ratio",3.39,
2024,"BE","RAT","T","TOTAL","Total","Total","Ratio",3.45,
2025,"BE","RAT","T","TOTAL","Total","Total","Ratio",3.25,
2006,"BG","RAT","T","TOTAL","Total","Total","Ratio",5.12,"b"
2007,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.98,
2008,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.48,
2009,"BG","RAT","T","TOTAL","Total","Total","Ratio",5.91,
2010,"BG","RAT","T","TOTAL","Total","Total","Ratio",5.86,
2011,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.46,
2012,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.12,
2013,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.59,
2014,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.81,
2015,"BG","RAT","T","TOTAL","Total","Total","Ratio",7.11,
2016,"BG","RAT","T","TOTAL","Total","Total","Ratio",7.69,"b"
2017,"BG","RAT","T","TOTAL","Total","Total","Ratio",8.23,
2018,"BG","RAT","T","TOTAL","Total","Total","Ratio",7.66,
2019,"BG","RAT","T","TOTAL","Total","Total","Ratio",8.1,
2020,"BG","RAT","T","TOTAL","Total","Total","Ratio",8.01,
2021,"BG","RAT","T","TOTAL","Total","Total","Ratio",7.45,
2022,"BG","RAT","T","TOTAL","Total","Total","Ratio",7.3,
2023,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.61,
2024,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.96,
2025,"BG","RAT","T","TOTAL","Total","Total","Ratio",6.94,
2005,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.67,"b"
2006,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.53,
2007,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.52,
2008,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.43,
2009,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.47,
2010,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.47,
2011,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.54,
2012,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.49,
2013,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.4,
2014,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.5,
2015,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.51,
2016,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.5,
2017,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.4,
2018,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.32,
2019,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.34,
2020,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.34,
2021,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.43,
2022,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.48,
2023,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.42,
2024,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.32,
2025,"CZ","RAT","T","TOTAL","Total","Total","Ratio",3.34,
2003,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.58,"b"
2004,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.42,
2005,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.5,
2006,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.44,
2007,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.73,
2008,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.63,
2009,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.61,
2010,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.41,"b"
2011,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.98,"b"
2012,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.94,
2013,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.01,
2014,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.12,
2015,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.08,
2016,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.06,
2017,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.08,
2018,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.11,
2019,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.09,
2020,"DK","RAT","T","TOTAL","Total","Total","Ratio",4,"b"
2021,"DK","RAT","T","TOTAL","Total","Total","Ratio",3.93,
2022,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.03,
2023,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.15,
2024,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.16,
2025,"DK","RAT","T","TOTAL","Total","Total","Ratio",4.12,
2005,"DE","RAT","T","TOTAL","Total","Total","Ratio",3.79,"b"
2006,"DE","RAT","T","TOTAL","Total","Total","Ratio",4.06,
2007,"DE","RAT","T","TOTAL","Total","Total","Ratio",4.93,
