"time","geo","unit","statinfo","hhcomp","hhcomp_label","statinfo_label","unit_label","value","flag"
1997,"EL","NAC","MED_EI","F1","One single female","Median equivalised income","National currency",4158,
1998,"EL","NAC","MED_EI","F1","One single female","Median equivalised income","National currency",4241,
1999,"EL","NAC","MED_EI","F1","One single female","Median equivalised income","National currency",4574,
2000,"EL","NAC","MED_EI","F1","One single female","Median equivalised income","National currency",5198,
2001,"EL","NAC","MED_EI","F1","One single female","Median equivalised income","National currency",5100,
1995,"EL","PPS","MED_EI","F1","One single female","Median equivalised income","Purchasing power standard (PPS)",4898,
1996,"EL","PPS","MED_EI","F1","One single female","Median equivalised income","Purchasing power standard (PPS)",5564,
1997,"EL","PPS","MED_EI","F1","One single female","Median equivalised income","Purchasing power standard (PPS)",5689,
1998,"EL","PPS","MED_EI","F1","One single female","Median equivalised income","Purchasing power standard (PPS)",5576,
1999,"EL","PPS","MED_EI","F1","One single female","Median equivalised income","Purchasing power standard (PPS)",5809,
2000,"EL","PPS","MED_EI","F1","One single female","Median equivalised income","Purchasing power standard (PPS)",6842,
2001,"EL","PPS","MED_EI","F1","One single female","Median equivalised income","Purchasing power standard (PPS)",6510,
1995,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",5487,
1996,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",6108,
1997,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",6544,
1998,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",6825,
1999,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",6925,
2000,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",7834,
2001,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",7514,
2003,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8740,"b"
2004,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",8803,
2005,"EL","EUR","MEAN_EI","A1","One adult","Mean equivalised income","Euro",9655,
