"time","geo","unit","statinfo","quant_inc","quant_inc_label","statinfo_label","unit_label","value","flag"
2004,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",10298,
2005,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",10751,
2006,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",11162,
2007,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",11455,
2008,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",12032,
2009,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",12535,
2010,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",12599,
2011,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",11627,
2012,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",10063,
2013,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",9046,
2014,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",8674,
2015,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",8802,
2016,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",9048,
2017,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",9035,
2018,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",9245,
2019,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",9765,
2020,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",10175,
2021,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",9917,
2022,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",10841,
2023,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",11389,
2024,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",12436,
2025,"EL","PPS","TC","Q2","Second quartile","Top cut-off point","Purchasing power standard (PPS)",13612,
1995,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17,
1996,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17,
1997,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17,
1998,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17,
1999,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17,
2000,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18,
2001,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18,
2003,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.4,"b"
2004,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.9,
2005,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.7,
2006,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.4,
2007,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.3,
2008,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.9,
2009,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18,
2010,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.9,
2011,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.7,
2012,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.9,
2013,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.8,
2014,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.6,
2015,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.9,
2016,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",17.9,
2017,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18,
2018,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.2,
2019,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.5,
2020,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.4,
2021,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.4,
2022,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.4,
2023,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.4,
2024,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.5,
2025,"EL","EUR","SHARE","Q2","Second quartile","Share of national equivalised income","Euro",18.6,
1995,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17,
1996,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17,
1997,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17,
1998,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17,
1999,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17,
2000,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",18,
2001,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",18,
2003,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17.4,"b"
2004,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17.9,
2005,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17.7,
2006,"EL","NAC","SHARE","Q2","Second quartile","Share of national equivalised income","National currency",17.4,
