"time","geo","unit","hhcomp","rskpovth","statinfo","statinfo_label","rskpovth_label","hhcomp_label","unit_label","value","flag"
2024,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",32,
2025,"EL","THS_PER","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Thousand persons",24,
1995,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",23,
1996,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",21,
1997,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",18,
1998,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",13,
1999,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",19,"u"
2000,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",18,"u"
2001,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",26,
2003,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",25.1,"b"
2004,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",16.5,
2005,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",28,
2006,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",19.7,
2007,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",23.5,
2008,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",14.8,
2009,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",12.8,
2010,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",21.7,
2011,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",28.2,
2012,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",43.6,
2013,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",26.3,
2014,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",22.5,
2015,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",22.2,
2016,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",20.4,
2017,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",20.8,
2018,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",20.1,
2019,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",14,
2020,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",14.3,
2021,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",18.1,
2022,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",23.1,
2023,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",23.2,
2024,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",18.6,
2025,"EL","PC","A1_DCH","B_40","MEAN_EI","Mean equivalised income","Below 40%","One adult with dependent children","Percentage",14.5,
2015,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",203,
2016,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",207,
2017,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",195,
2018,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",153,
2019,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",161,
2020,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",137,
2021,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",173,
2022,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",162,
2023,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",153,
2024,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",165,
2025,"EL","THS_PER","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Thousand persons",155,
2003,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",13.6,"b"
2004,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",11.2,
2005,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",11.7,
2006,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",10.6,
2007,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",9.8,
2008,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",8.1,
2009,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",7.5,
2010,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",8,
2011,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",8.7,
2012,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",5.6,
2013,"EL","PC","A2","B_40","MEAN_EI","Mean equivalised income","Below 40%","Two adults","Percentage",7,
