"time","geo","unit","statinfo","sex","age","age_label","sex_label","statinfo_label","unit_label","value","flag"
2016,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",8777,
2017,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",8892,
2018,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",9142,
2019,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",9474,
2020,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",10143,
2021,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",10064,
2022,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",10952,
2023,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",11738,
2024,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",12613,
2025,"EL","EUR","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Euro",13618,
1995,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",5383,
1996,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",5897,
1997,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",6485,
1998,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",7210,
1999,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",7554,
2000,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",7998,
2001,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",8416,
2003,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",9854,"b"
2004,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",10372,
2005,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",11343,
2006,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",11823,
2007,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",12290,
2008,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",12937,
2009,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",13699,
2010,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",14156,
2011,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",12848,
2012,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",10862,
2013,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",9510,
2014,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",8953,
2015,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",8774,
2016,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",8777,
2017,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",8892,
2018,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",9142,
2019,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",9474,
2020,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",10143,
2021,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",10064,
2022,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",10952,
2023,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",11738,
2024,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",12613,
2025,"EL","NAC","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","National currency",13618,
1995,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",8097,
1996,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",8394,
1997,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",8872,
1998,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",9479,
1999,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",9593,
2000,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",10528,
2001,"EL","PPS","MEAN_EI","M","TOTAL","Total","Males","Mean equivalised income","Purchasing power standard (PPS)",10743,
